X,u
0.316,-2.18666
0.317,-2.19619
0.318,-2.20572
0.319,-2.21526
0.32,-2.2248
0.321,-2.23434
0.322,-2.24389
0.323,-2.25344
0.324,-2.263
0.325,-2.27256
0.326,-2.28212
0.327,-2.29169
0.328,-2.30126
0.329,-2.31084
0.33,-2.32042
0.331,-2.33
0.332,-2.33959
0.333,-2.34918
0.334,-2.35877
0.335,-2.36837
0.336,-2.37797
0.337,-2.38758
0.338,-2.39718
0.339,-2.4068
0.34,-2.41641
0.341,-2.42603
0.342,-2.43565
0.343,-2.44527
0.344,-2.4549
0.345,-2.46453
0.346,-2.47417
0.347,-2.4838
0.348,-2.49344
0.349,-2.50309
0.35,-2.51273
0.351,-2.52238
0.352,-2.53204
0.353,-2.54169
0.354,-2.55135
0.355,-2.56101
0.356,-2.57068
0.357,-2.58034
0.358,-2.59001
0.359,-2.59969
0.36,-2.60936
0.361,-2.61904
0.362,-2.62872
0.363,-2.6384
0.364,-2.64809
0.365,-2.65778
0.366,-2.66747
0.367,-2.67717
0.368,-2.68686
0.369,-2.69656
0.37,-2.70626
0.371,-2.71597
0.372,-2.72567
0.373,-2.73538
0.374,-2.74509
0.375,-2.75481
0.376,-2.76452
0.377,-2.77424
0.378,-2.78396
0.379,-2.79369
0.38,-2.80341
0.381,-2.81314
0.382,-2.82287
0.383,-2.8326
0.384,-2.84233
0.385,-2.85207
0.386,-2.86181
0.387,-2.87155
0.388,-2.88129
0.389,-2.89104
0.39,-2.90078
0.391,-2.91053
0.392,-2.92028
0.393,-2.93003
0.394,-2.93979
0.395,-2.94955
0.396,-2.9593
0.397,-2.96907
0.398,-2.97883
0.399,-2.98859
0.4,-2.99836
0.401,-3.00813
0.402,-3.01789
0.403,-3.02767
0.404,-3.03744
0.405,-3.04721
0.406,-3.05699
0.407,-3.06677
0.408,-3.07655
0.409,-3.08633
0.41,-3.09612
0.411,-3.1059
0.412,-3.11569
0.413,-3.12548
0.414,-3.13527
0.415,-3.14506
0.416,-3.15485
0.417,-3.16465
0.418,-3.17444
0.419,-3.18424
0.42,-3.19404
0.421,-3.20384
0.422,-3.21364
0.423,-3.22345
0.424,-3.23325
0.425,-3.24306
0.426,-3.25287
0.427,-3.26268
0.428,-3.27249
0.429,-3.2823
0.43,-3.29211
0.431,-3.30193
0.432,-3.31174
0.433,-3.32156
0.434,-3.33138
0.435,-3.3412
0.436,-3.35102
0.437,-3.36085
0.438,-3.37067
0.439,-3.3805
0.44,-3.39032
0.441,-3.40015
0.442,-3.40998
0.443,-3.41981
0.444,-3.42964
0.445,-3.43947
0.446,-3.44931
0.447,-3.45914
0.448,-3.46898
0.449,-3.47882
0.45,-3.48866
0.451,-3.49849
0.452,-3.50834
0.453,-3.51818
0.454,-3.52802
0.455,-3.53786
0.456,-3.54771
0.457,-3.55755
0.458,-3.5674
0.459,-3.57725
0.46,-3.5871
0.461,-3.59695
0.462,-3.6068
0.463,-3.61665
0.464,-3.62651
0.465,-3.63636
0.466,-3.64621
0.467,-3.65607
0.468,-3.66593
0.469,-3.67578
0.47,-3.68564
0.471,-3.6955
0.472,-3.70536
0.473,-3.71522
0.474,-3.72509
0.475,-3.73495
0.476,-3.74481
0.477,-3.75468
0.478,-3.76454
0.479,-3.77441
0.48,-3.78428
0.481,-3.79415
0.482,-3.80402
0.483,-3.81389
0.484,-3.82376
0.485,-3.83363
0.486,-3.8435
0.487,-3.85337
0.488,-3.86325
0.489,-3.87312
0.49,-3.883
0.491,-3.89287
0.492,-3.90275
0.493,-3.91263
0.494,-3.9225
0.495,-3.93238
0.496,-3.94226
0.497,-3.95214
0.498,-3.96202
0.499,-3.97191
0.5,-3.98179
0.501,-3.99167
0.502,-4.00156
0.503,-4.01144
0.504,-4.02132
0.505,-4.03121
0.506,-4.0411
0.507,-4.05098
0.508,-4.06087
0.509,-4.07076
0.51,-4.08065
0.511,-4.09054
0.512,-4.10043
0.513,-4.11032
0.514,-4.12021
0.515,-4.1301
0.516,-4.13999
0.517,-4.14989
0.518,-4.15978
0.519,-4.16967
0.52,-4.17957
0.521,-4.18946
0.522,-4.19936
0.523,-4.20926
0.524,-4.21915
0.525,-4.22905
0.526,-4.23895
0.527,-4.24885
0.528,-4.25875
0.529,-4.26864
0.53,-4.27854
0.531,-4.28844
0.532,-4.29835
0.533,-4.30825
0.534,-4.31815
0.535,-4.32805
0.536,-4.33795
0.537,-4.34786
0.538,-4.35776
0.539,-4.36767
0.54,-4.37757
0.541,-4.38748
0.542,-4.39738
0.543,-4.40729
0.544,-4.41719
0.545,-4.4271
0.546,-4.43701
0.547,-4.44692
0.548,-4.45682
0.549,-4.46673
0.55,-4.47664
0.551,-4.48655
0.552,-4.49646
0.553,-4.50637
0.554,-4.51628
0.555,-4.52619
0.556,-4.5361
0.557,-4.54602
0.558,-4.55593
0.559,-4.56584
0.56,-4.57575
